ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,matched_image
superior-36-inch-b-vent-radiant-gas-fireplace-brt4536,Superior,Gas Fireplaces,BRT4536TEN-B,Superior 36 B-Vent Radiant Gas Fireplace | BRT4536,brt4536ten-b,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-bvfp-brt4000-4536-hires-1.tif
superior-36-inch-linear-vent-free-outdoor-gas-fireplace-vre4636,Superior,Outdoor Gas Fireplaces,ODLVF36ZEN,Superior 36 Linear Vent Free Outdoor Gas Fireplace | VRE4636,odlvf36zen,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffp-vre4600-72-hires-1.tif
superior-36-inch-outdoor-wood-fireplace-wre3036,Superior,Outdoor Wood Fireplaces,WRE3036WS,Superior 36 Outdoor Wood Fireplace | WRE3036,wre3036ws,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-owbfp-wre3000-36-hires-1.tif
superior-36-inch-outdoor-wood-fireplace-wre4536,Superior,Outdoor Wood Fireplaces,WRE4536WS,Superior 36 Outdoor Wood Fireplace | WRE4536,wre4536ws,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-owbfp-wre4500-42-hires-1.tif
superior-36-inch-outdoor-wood-fireplace-wre6036,Superior,Outdoor Wood Fireplaces,WRE6036,Superior 36 Outdoor Wood Fireplace | WRE6036,wre6036,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-owbfp-wre6000-36-hires-1.tif
superior-36-inch-radiant-electric-fireplace-ert3036,Superior,Electric Fireplaces,MPE-36-3,Superior 36 Inch Radiant Electric Fireplace | ERT3036 |,mpe-36-3,1000x1000,FALSE,Hi-Res Images/Electric Fireplaces/superior-elfp-ert3000-36-hires-1.tif
superior-36-inch-traditional-wood-fireplace-wrt6036,Superior,Wood Fireplaces,WRT6036,Superior 36 Traditional Wood Fireplace | WRT6036,wrt6036,1000x1000,FALSE,Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt6000-42-hires-1.tif
superior-36-inch-vent-free-circulating-gas-firebox-vrt3536,Superior,Fireboxes,VRT3536WS,Superior 36 Inch Vent Free Circulating Gas Firebox | VRT3536 |,vrt3536ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt3500-36-hires-1.tif
superior-36-inch-vent-free-gas-firebox-vrt2536,Superior,Fireboxes,VRT2536WS,Superior 36 Inch Vent Free Gas Firebox | VRT2536 |,vrt2536ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt2500-36-hires-1.tif
superior-36-inch-vent-free-gas-firebox-vrt3136,Superior,Fireboxes,VRT3136WS,Superior 36 Inch Vent Free Gas Firebox | VRT3136 |,vrt3136ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt3100-36-hires-1.tif
