ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,matched_image
superior-60-inch-contemporary-linear-direct-vent-gas-fireplace-drl6060ten,Superior,Gas Fireplaces,DRL6060TEN,Superior 60 Contemporary Linear Direct-Vent Gas Fireplace | DRL6060TEN,drl6060ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drl6000ST-60-hires-1.tif
superior-54-inch-radiant-linear-electric-fireplace-erc4054,Superior,Electric Fireplaces,ERC4054,Superior 54 Inch Radiant Linear Electric Fireplace | ERC4054 |,erc4054,1000x1000,FALSE,Web Images/Indoor Fireplaces/WRT4542.jpg
superior-60-inch-radiant-linear-electric-fireplace-erc4060,Superior,Electric Fireplaces,ERC4060,Superior 60 Inch Radiant Linear Electric Fireplace | ERC4060 |,erc4060,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drl4000-60-hires-1.tif
superior-36-inch-vent-free-gas-firebox-vrt6036,Superior,Fireboxes,VRT6036,Superior 36 Inch Vent Free Gas Firebox | VRT6036 |,vrt6036,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt6000-42-hires-1.tif
superior-38-inch-wood-fireplace-wrt4038,Superior,Wood Fireplaces,WRT4038IS,Superior 38 Inch Wood Fireplace | WRT4038 |,wrt4038is,1000x1000,FALSE,Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WRT40PN.jpg
superior-43-inch-wood-fireplace-wrt4043,Superior,Wood Fireplaces,WRT4043IS,Superior 43 Inch Wood Fireplace | WRT4043 |,wrt4043is,1000x1000,FALSE,Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WRT40PN.jpg
superior-white-smooth-clean-faced-traditional-epa-certified-wood-fireplace-wrt4820,Superior,Wood Fireplaces,WRT4820WS,Superior White Smooth Clean-Faced Traditional EPA Certified Wood Fireplace | WRT4820 |,wrt4820ws,1000x1000,FALSE,Web Images/Indoor Fireplaces/WRT4820WS.jpg
superior-white-herringbone-circulating-traditional-epa-certified-wood-fireplace-wrt4826,Superior,Wood Fireplaces,WRT4826WH,Superior White Herringbone Circulating Traditional EPA Certified Wood Fireplace | WRT4826 |,wrt4826wh,1000x1000,FALSE,Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WRT4826 1.jpg
