series,product_type,image_type,filename,filepath,priority
_WRE3800_Warm Red Stacked Brick_32351851,/Outdoor Fireplaces,Web Images,Superior_WRE3800_Warm Red Stacked Brick_32351851.jpg,superior_source/Web Images/Outdoor Fireplaces/Superior_WRE3800_Warm Red Stacked Brick_32351851.jpg,
WCT4820 2,/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces,Web Images,WCT4820 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WCT4820 2.jpg,2
VRE3000,/Superior Images/Superior Outdoor Products,Web Images,VRE3000.jpg,superior_source/Web Images/Superior Images/Superior Outdoor Products/VRE3000.jpg,
vrt4000z,Gas Fireplaces,Hi-Res Images,superior-vffp-vrt4000z-32-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-vffp-vrt4000z-32-hires-1.tif,1
vrt4032z,Gas Fireplaces,Hi-Res Images,superior-vffp-vrt4000z-32-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-vffp-vrt4000z-32-hires-1.tif,1
wrt3500,Wood Fireplaces,Hi-Res Images,superior-wbfp-wrt3500-38-hires-1.tif,superior_source/Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt3500-38-hires-1.tif,1
wrt3538,Wood Fireplaces,Hi-Res Images,superior-wbfp-wrt3500-38-hires-1.tif,superior_source/Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt3500-38-hires-1.tif,1
DRC2000,/Indoor Fireplaces,Web Images,DRC2000.jpg,superior_source/Web Images/Indoor Fireplaces/DRC2000.jpg,
drc2000,Gas Fireplaces,Hi-Res Images,superior-dvfp-drc2000-35-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drc2000-35-hires-1.tif,1
drc2035,Gas Fireplaces,Hi-Res Images,superior-dvfp-drc2000-35-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drc2000-35-hires-1.tif,1
Giant Timbers LMF-GT,/Superior Images/Superior Gas Logs/Superior Vent-Free Logs,Web Images,Giant Timbers LMF-GT.jpg,superior_source/Web Images/Superior Images/Superior Gas Logs/Superior Vent-Free Logs/Giant Timbers LMF-GT.jpg,
WRT2000-WCT2000 2,/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces,Web Images,WRT2000-WCT2000 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WRT2000-WCT2000 2.jpg,2
mossyoakOD,Gas Logs,Hi-Res Images,superior-vflg-mossyoakOD-hires-1.tif,superior_source/Hi-Res Images/Gas Logs/superior-vflg-mossyoakOD-hires-1.tif,1
DRL4543 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRL4543 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRL4543 1.jpg,1
HCA24RF,/Gas Logs/Vented,Web Images,HCA24RF.jpg,superior_source/Web Images/Gas Logs/Vented/HCA24RF.jpg,
Arched Wood Nook,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRT6000 Accessories,Web Images,Arched Wood Nook.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRT6000 Accessories/Arched Wood Nook.jpg,
WRT4820WS,/Indoor Fireplaces,Web Images,WRT4820WS.jpg,superior_source/Web Images/Indoor Fireplaces/WRT4820WS.jpg,
Appalachian Oak FA,/Superior Images/Superior Gas Logs/Superior Vented Logs,Web Images,Appalachian Oak FA.jpg,superior_source/Web Images/Superior Images/Superior Gas Logs/Superior Vented Logs/Appalachian Oak FA.jpg,
drl4543ST,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl4543ST-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl4543ST-hires-1.tif,1
LVD24GO,/Gas Logs/Vent-Free,Web Images,LVD24GO.jpg,superior_source/Web Images/Gas Logs/Vent-Free/LVD24GO.jpg,
vre4500,Outdoor Products,Hi-Res Images,superior-ovffp-vre4500-42-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-ovffp-vre4500-42-hires-1.tif,1
vre4542,Outdoor Products,Hi-Res Images,superior-ovffp-vre4500-42-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-ovffp-vre4500-42-hires-1.tif,1
VRE6000,/Outdoor Fireplaces,Web Images,VRE6000.jpg,superior_source/Web Images/Outdoor Fireplaces/VRE6000.jpg,
VRE3000,/Outdoor Fireplaces,Web Images,VRE3000.jpg,superior_source/Web Images/Outdoor Fireplaces/VRE3000.jpg,
VRE4500 1,/Superior Images/Superior Outdoor Products,Web Images,VRE4500 1.jpg,superior_source/Web Images/Superior Images/Superior Outdoor Products/VRE4500 1.jpg,1
wre3000,Outdoor Products,Hi-Res Images,superior-owbfp-wre3000-36-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-owbfp-wre3000-36-hires-1.tif,1
wre3036,Outdoor Products,Hi-Res Images,superior-owbfp-wre3000-36-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-owbfp-wre3000-36-hires-1.tif,1
drc6300,Gas Fireplaces,Hi-Res Images,superior-dvfp-drc6300-40-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drc6300-40-hires-1.tif,1
drc6340,Gas Fireplaces,Hi-Res Images,superior-dvfp-drc6300-40-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drc6300-40-hires-1.tif,1
brt4000,Gas Fireplaces,Hi-Res Images,superior-bvfp-brt4000-4536-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-bvfp-brt4000-4536-hires-1.tif,1
brt4536,Gas Fireplaces,Hi-Res Images,superior-bvfp-brt4000-4536-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-bvfp-brt4000-4536-hires-1.tif,1
