ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,comment
duravent-pellet-vent-pro-4-replacement-gasket-4pvpga,DuraVent,Venting Components,4PVP-GA,"DuraVent Pellet Vent Pro 4"" Diameter Replacement Gasket | 4PVP-GA |",4pvp-ga,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-12-length-round-adjustable-pipe-7gv12a,DuraVent,Venting Components,7GV12A,"DuraVent Type B 12"" Length Round Adjustable Pipe | 7GV12A |",7gv12a,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-45-adjustable-elbow-7gvl45,DuraVent,Venting Components,7GVL45,DuraVent Type B 45 Degree Adjustable Elbow | 7GVL45 |,7gvl45,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-6-dsa-roof-flashing-6gvfdsa,DuraVent,Venting Components,6GVFDSA,"DuraVent Type B 6"" DSA Roof Flashing | 6GVFDSA |",6gvfdsa,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-6-fha-flashing-6gvfha,DuraVent,Venting Components,6GVFHA,"DuraVent Type B 6"" FHA Flashing | 6GVFHA |",6gvfha,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-7-x-3-x-5-doublewall-wye-45-br-7gvy35,DuraVent,Venting Components,7GVY35,"DuraVent Type B 7"" x 3"" x 5"" Double-Wall WYE - 45 Degree Branch | 7GVY35 |",7gvy35,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-90-adjustable-elbow-7gvl90,DuraVent,Venting Components,7GVL90,DuraVent Type B 90 Degree Adjustable Elbow | 7GVL90 |,7gvl90,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-attic-insulation-shield-7-8-7gvis,DuraVent,Venting Components,7GVIS,"DuraVent Type B Attic Insulation Shield 7"" - 8"" | 7GVIS |",7gvis,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-duracap-6gvdc,DuraVent,Venting Components,6GVDC,DuraVent Type B DuraCap | 6GVDC |,6gvdc,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-firestop-spacer-7gvfs,DuraVent,Venting Components,7GVFS,DuraVent Type B Firestop Spacer | 7GVFS |,7gvfs,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-highwind-cap-6gvvth,DuraVent,Venting Components,6GVVTH,DuraVent Type B High-Wind Cap | 6GVVTH |,6gvvth,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-increaser-7-x-8-7gvx8,DuraVent,Venting Components,7GVX8,"DuraVent Type B Increaser 7"" x 8"" | 7GVX8 |",7gvx8,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-increaser-tee-6-x-5-6gvtr5,DuraVent,Venting Components,6GVTR5,"DuraVent Type B Increaser Tee 6"" x 5"" | 6GVTR5 |",6gvtr5,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-round-bucket-support-7-8-7gvrs8,DuraVent,Venting Components,7GVRS8,"DuraVent Type B Round Bucket Support 7"" - 8"" | 7GVRS8 |",7gvrs8,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-square-firestop-support-7gvrs,DuraVent,Venting Components,7GVRS,DuraVent Type B Square Firestop Support | 7GVRS |,7gvrs,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-standard-tee-7gvt,DuraVent,Venting Components,7GVT,DuraVent Type B Standard Tee | 7GVT |,7gvt,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-steep-roof-flashing-6gvfsr,DuraVent,Venting Components,6GVFSR,DuraVent Type B Steep Roof Flashing | 6GVFSR |,6gvfsr,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-storm-collar-7gvsc,DuraVent,Venting Components,7GVSC,DuraVent Type B Storm Collar | 7GVSC |,7gvsc,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-tall-cone-flat-flashing-6gvff,DuraVent,Venting Components,6GVFF,DuraVent Type B Tall Cone Flat Flashing | 6GVFF |,6gvff,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-tee-cap-7gvtc,DuraVent,Venting Components,7GVTC,DuraVent Type B Tee Cap | 7GVTC |,7gvtc,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-universal-bvent-to-aluminum-flex-adapter-7dfaadbv,DuraVent,Venting Components,7DFA-ADBV,DuraVent Type B Universal B-Vent to Aluminum Flex Adapter | 7DFA-ADBV |,7dfa-adbv,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
duravent-type-b-wall-strap-7gvws,DuraVent,Venting Components,7GVWS,DuraVent Type B Wall Strap | 7GVWS |,7gvws,1000x1000,FALSE,manufacturerSKU is not searched on iBuyFireplaces.com
