ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,comment
skytech-systems-sky-1001t-lcd-a-on-off-remote,Skytech,Remote Controls,SKY-1001T/LCD,Skytech Systems On/Off Remote | SKY-1001T/LCD |,sky-1001t/lcd,1000x1000,FALSE,manufacturerSKU not found on Skytechfireplaceremotes.com
skytech-systems-sky-1001be-on-off-remote,Skytech,Remote Controls,SKY-1001BE,Skytech Systems On/Off Remote | SKY-1001BE |,sky-1001be,1000x1000,FALSE,manufacturerSKU not found on Skytechfireplaceremotes.com
skytech-systems-sky-3301be-lcd-remote,Skytech,Remote Controls,SKY-3301BE,Skytech Systems LCD Remote | SKY-3301BE |,sky-3301be,1000x1000,FALSE,manufacturerSKU not found on Skytechfireplaceremotes.com
skytech-systems-sky-1410-a-on-off-remote-control,Skytech,Remote Controls,SKY-1410-A,Skytech Systems On/Off Remote Control | SKY-1410-A |,sky-1410-a,1000x1000,FALSE,manufacturerSKU not found on Skytechfireplaceremotes.com
skytech-systems-sky-1001d-a-wireless-wall-switch,Skytech,Remote Controls,SKY-1001D-A,Skytech Systems Wireless Wall Switch | SKY-1001D-A |,sky-1001d-a,1000x1000,FALSE,manufacturerSKU not found on Skytechfireplaceremotes.com
skytech-systems-sky-3301pf-on-off-lcd-display-programable-therm-remote,Skytech,Remote Controls,SKY-3301PF,Skytech Systems On/Off LCD Display Programmable Therm Remote | SKY-3301PF |,sky-3301pf,1000x1000,FALSE,manufacturerSKU not found on Skytechfireplaceremotes.com
skytech-systems-sky-3301pbe-programable-remote,Skytech,Remote Controls,SKY-3301PBE,Skytech Systems Programmable Remote | SKY-3301PBE |,sky-3301pbe,1000x1000,FALSE,manufacturerSKU not found on Skytechfireplaceremotes.com
skytech-systems-sky-5310-touch-screen-thermostatic-control-plus-timer-remote-with-plug-in-receiver,Skytech,Remote Controls,SKY-5310,Skytech Systems Touch Screen Thermostatic Control Plus Timer Remote With Plug-In Receiver | SKY-5310 |,sky-5310,1000x1000,FALSE,manufacturerSKU not found on Skytechfireplaceremotes.com
skytech-systems-ts-r-2a-manual-wall-thermostat-battery-operated-wireless-lcd-remote,Skytech,Remote Controls,TS/R-2A,Skytech Systems Manual Wall Thermostat Battery Operated Wireless LCD Remote | TS/R-2A |,ts/r-2a,1000x1000,FALSE,manufacturerSKU not found on Skytechfireplaceremotes.com
